image_path,label
dataset/tomato\Tomato___Tomato_mosaic_virus\42896f16-bf4c-4db1-b488-08d830dff66b___PSU_CG 2341.JPG,8
dataset/tomato\Tomato___Bacterial_spot\b391ff43-597e-431d-b3eb-d852e5c9c754___GCREC_Bact.Sp 3758.JPG,0
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\900034b9-3cd5-4456-b75b-39e645e25a43___Com.G_SpM_FL 8751.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\162a2c9a-53ec-468c-bbaa-145e7acdb8db___UF.GRC_YLCV_Lab 02537.JPG,7
dataset/tomato\Tomato___Late_blight\283ff0be-6e5e-4b4e-bf21-639780b77ffc___GHLB2 Leaf 8636.JPG,2
dataset/tomato\Tomato___Bacterial_spot\ef79c0ac-b8c5-437b-8d10-971f819b4ab8___GCREC_Bact.Sp 6084.JPG,0
dataset/tomato\Tomato___Late_blight\cc5c76c0-2858-483e-8f1e-4e472116725b___RS_Late.B 5629.JPG,2
dataset/tomato\Tomato___Bacterial_spot\dfce64d1-9954-4922-8beb-2681e2e6b896___GCREC_Bact.Sp 2961.JPG,0
dataset/tomato\Tomato___Leaf_Mold\2f49ea7d-edf2-48bd-9598-449d8c83d0a0___Crnl_L.Mold 9154.JPG,3
dataset/tomato\Tomato___Early_blight\fcf8557f-890e-441b-9dc1-c8854f694f2e___RS_Erly.B 9505.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c651adf2-8956-4f91-869e-23b4b1c4a623___YLCV_NREC 2821.JPG,7
dataset/tomato\Tomato___Late_blight\6dcf84e4-bfbc-467d-83d8-546c22779f6d___GHLB2 Leaf 76.1.JPG,2
dataset/tomato\Tomato___Early_blight\a54e9f9d-e56b-4097-83c2-b137f9111edf___RS_Erly.B 9411.JPG,1
dataset/tomato\Tomato___Septoria_leaf_spot\79f0e1e3-7275-46a5-b4de-fbf5410dae80___JR_Sept.L.S 8482.JPG,4
dataset/tomato\Tomato___healthy\69a348e0-b426-42bd-ba09-a8bb067430e5___RS_HL 0016.JPG,9
dataset/tomato\Tomato___Target_Spot\02b891ad-b252-4f46-8618-89a0c36193c2___Com.G_TgS_FL 0038.JPG,6
dataset/tomato\Tomato___Bacterial_spot\6e8def24-a55a-464e-88a3-624075de0cf1___GCREC_Bact.Sp 2952.JPG,0
dataset/tomato\Tomato___Tomato_mosaic_virus\830ed62d-ec4b-4df9-97fe-fddf36d7c3cb___PSU_CG 2301.JPG,8
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\05f30be4-e9ca-448e-b27b-c5efaa15a61c___YLCV_NREC 2482.JPG,7
dataset/tomato\Tomato___Late_blight\526e3337-acab-45da-a988-e6aab8a99281___GHLB2 Leaf 9089.JPG,2
dataset/tomato\Tomato___Septoria_leaf_spot\09dbdbad-6b02-45a8-a1d3-86cebfd1320d___Keller.St_CG 1799.JPG,4
dataset/tomato\Tomato___Bacterial_spot\974bfda6-f0ea-48a4-965e-9346c8f2f17b___GCREC_Bact.Sp 6237.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ec441f5d-92ea-41bd-a182-c20ce2328aac___YLCV_GCREC 1934.JPG,7
dataset/tomato\Tomato___Late_blight\5c2e8475-ec0a-4566-af20-a4dedf3dc1c0___GHLB Leaf 2 Day 1.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8e605b54-e83c-4f6c-b9ab-b61d37cefeac___UF.GRC_YLCV_Lab 03245.JPG,7
dataset/tomato\Tomato___Target_Spot\e09f19dd-e998-4d13-a09f-1012295dbecc___Com.G_TgS_FL 7952.JPG,6
dataset/tomato\Tomato___Leaf_Mold\d9c04f45-b778-42cf-a96c-bdf559f5be25___Crnl_L.Mold 8833.JPG,3
dataset/tomato\Tomato___Early_blight\3a7c19c6-a86d-4127-b00e-600cb0244ac4___RS_Erly.B 6415.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\30b61899-5943-40cc-98b6-6b07f8e1a499___UF.GRC_YLCV_Lab 03340.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\efc157be-50fe-4813-8ec3-6a652f11bb6f___UF.GRC_YLCV_Lab 09484.JPG,7
dataset/tomato\Tomato___Target_Spot\c4b03250-5ffa-4b81-9731-ee92811737ba___Com.G_TgS_FL 9761.JPG,6
dataset/tomato\Tomato___healthy\6890c333-c7d2-4d50-8734-f70b61cef213___GH_HL Leaf 447.1.JPG,9
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\d172ed82-bf62-48f7-b4dd-36b279c13aba___Com.G_SpM_FL 8431.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\709a8acc-35e1-450b-844c-46bbe6cab281___YLCV_NREC 0252.JPG,7
dataset/tomato\Tomato___Early_blight\8714986a-ae97-489a-8259-67411bfa2379___RS_Erly.B 9400.JPG,1
dataset/tomato\Tomato___healthy\efe384e9-8131-4164-884f-dff1d0995608___RS_HL 0272.JPG,9
dataset/tomato\Tomato___Leaf_Mold\479d6746-71a9-4abc-83d7-8cbfcedf1496___Crnl_L.Mold 9150.JPG,3
dataset/tomato\Tomato___Bacterial_spot\1169b92d-a606-4560-ae1a-ceee401fc959___GCREC_Bact.Sp 3447.JPG,0
dataset/tomato\Tomato___Late_blight\ee26dd7d-3a4e-44c1-af1a-34dfdaa3d585___GHLB_PS Leaf 1.2 Day 7.jpg,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9d032375-b1ce-45ca-a067-e699486d511d___YLCV_GCREC 2220.JPG,7
dataset/tomato\Tomato___healthy\d984f436-1fde-4221-9563-82f55a42b545___RS_HL 0217.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\651822f1-5cb1-4d45-806d-c25ffa025de2___UF.GRC_YLCV_Lab 01629.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\36c530f3-b5e1-414b-ab82-198e8d66ebab___Com.G_SpM_FL 8460.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\96d03f6d-5f9e-46ae-ba3b-ea0aa5a5b32d___YLCV_NREC 2833.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\7c41b687-8858-4f41-985c-9318ae538bb5___Com.G_SpM_FL 9284.JPG,5
dataset/tomato\Tomato___healthy\414359b9-153b-4985-bfe0-eaf22f7ff6ab___RS_HL 0062.JPG,9
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\d6621644-a8d8-412c-8b14-31f453247cfc___Com.G_SpM_FL 1174.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a7ce029b-1f3e-4b52-bc91-e4197c476da6___YLCV_NREC 2019.JPG,7
dataset/tomato\Tomato___Late_blight\d6ccb948-fdd5-4357-bb6a-c3df838ea465___GHLB_PS Leaf 8.1 Day 8.jpg,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\f2cad6ef-b7b8-4ec0-9a97-fc8d8b76e4fc___YLCV_GCREC 2818.JPG,7
dataset/tomato\Tomato___Bacterial_spot\f7b71d93-0c1e-4bfe-a00c-004ad1cd2158___GCREC_Bact.Sp 6298.JPG,0
dataset/tomato\Tomato___Early_blight\3064e2fc-3a71-4a66-8cd1-dc76ebc0c2e6___RS_Erly.B 7345.JPG,1
dataset/tomato\Tomato___Septoria_leaf_spot\9cb69cf5-1929-4a4a-9e6a-bac5596a22fd___JR_Sept.L.S 2489.JPG,4
dataset/tomato\Tomato___Septoria_leaf_spot\4ff32de5-d688-468f-b6db-9cb89e12f6f4___Matt.S_CG 2762.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5e6befa6-70ea-4001-b4bc-986ec910cbbc___YLCV_NREC 2638.JPG,7
dataset/tomato\Tomato___Late_blight\9b4df340-b1bf-4294-a275-1bc0d9b64ff6___GHLB2ES Leaf 138.1.JPG,2
dataset/tomato\Tomato___Bacterial_spot\463b2ce4-28ac-416d-9a43-2e494e649fbf___GCREC_Bact.Sp 6146.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d5cf00b6-a02b-4d2e-83f2-7663815a79c2___UF.GRC_YLCV_Lab 02343.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d0a48fe1-d49b-4931-8d3f-ae2a6b28733f___UF.GRC_YLCV_Lab 02807.JPG,7
dataset/tomato\Tomato___Leaf_Mold\91fca18d-8401-46d7-a173-cc549261b37f___Crnl_L.Mold 8662.JPG,3
dataset/tomato\Tomato___Bacterial_spot\0de30b71-8bd0-4270-a65b-7ae8befdd765___GCREC_Bact.Sp 6360.JPG,0
dataset/tomato\Tomato___Septoria_leaf_spot\d49f313e-910e-4386-a120-8b5e27dccb14___Matt.S_CG 2616.JPG,4
dataset/tomato\Tomato___Early_blight\055ae8d8-09e1-4b27-b385-9ff8a3e0eaae___RS_Erly.B 8247.JPG,1
dataset/tomato\Tomato___Bacterial_spot\acbc36cd-9c39-419b-95da-7858806a063a___GCREC_Bact.Sp 3811.JPG,0
dataset/tomato\Tomato___Early_blight\aca65de6-6464-4f8c-803d-b55f92f950f8___RS_Erly.B 6663.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\69feefca-d73a-4d18-b380-d34f37b9c35b___YLCV_NREC 0273.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\09434fa9-0733-4ef5-9cc3-db29d1e3a480___Com.G_SpM_FL 1425.JPG,5
dataset/tomato\Tomato___Leaf_Mold\8cd36896-f066-47f4-a965-d5bf0c58f954___Crnl_L.Mold 7042.JPG,3
dataset/tomato\Tomato___Leaf_Mold\835f4a10-45e2-4b7d-9b06-90318ea60082___Crnl_L.Mold 6960.JPG,3
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a2b839ba-137d-48b3-8842-f6ea47649023___YLCV_GCREC 2595.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\c6226a88-30ef-4b8e-bc8a-f0859551b410___Com.G_SpM_FL 8436.JPG,5
dataset/tomato\Tomato___Late_blight\6cd183e0-9e97-4e80-a956-7c81bd06ab8b___RS_Late.B 6621.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\c0b6257d-b68a-485e-8318-a3a91f89a01c___YLCV_NREC 2367.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\fd192f6d-f764-43aa-8ab9-9c1578d55200___JR_Sept.L.S 8466.JPG,4
dataset/tomato\Tomato___Late_blight\005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104.JPG,2
dataset/tomato\Tomato___Target_Spot\1e5f36a1-69fd-4256-be5d-ae451546b94c___Com.G_TgS_FL 8094.JPG,6
dataset/tomato\Tomato___healthy\fccb58ad-1644-403e-851b-dd3a27c893ef___GH_HL Leaf 387.1.JPG,9
dataset/tomato\Tomato___Septoria_leaf_spot\21e23277-e1e0-49b6-a2e7-e6b3756c3647___Matt.S_CG 6811.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\a9171c0c-e224-4f8b-b84f-1caba2c3c989___UF.GRC_YLCV_Lab 01935.JPG,7
dataset/tomato\Tomato___Late_blight\8c428644-bfe0-4f8c-944a-a8de1f318602___GHLB2 Leaf 8705.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\74c0e52c-610a-4b15-8f07-9c86fce34986___YLCV_GCREC 2937.JPG,7
dataset/tomato\Tomato___Bacterial_spot\9bfadeb9-dc2c-45fb-b687-7ae6f3dcc906___UF.GRC_BS_Lab Leaf 8789.JPG,0
dataset/tomato\Tomato___Early_blight\8ac21e2c-f953-4e96-8d43-e82dae24017e___RS_Erly.B 7459.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7a248c72-1dae-4532-b083-b0bee802cb4b___UF.GRC_YLCV_Lab 01722.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7dea7207-b67a-40ee-b79c-428a5c038e86___UF.GRC_YLCV_Lab 02340.JPG,7
dataset/tomato\Tomato___Late_blight\674b9176-bd0c-47be-94a3-7c973d2ecdab___GHLB_PS leaf 28.1 Day 12.jpg,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\165fe4f2-8a94-448c-bcd3-c86a687f6f1a___YLCV_GCREC 5370.JPG,7
dataset/tomato\Tomato___Septoria_leaf_spot\a9029aef-c4b6-4ab9-ad68-41f7b1b3ddda___Matt.S_CG 7754.JPG,4
dataset/tomato\Tomato___Leaf_Mold\0bc63b4c-e41b-4338-a8ac-af664048fdbb___Crnl_L.Mold 6913.JPG,3
dataset/tomato\Tomato___Leaf_Mold\aac3fb74-6413-4f4b-ba38-82fe0f2f135d___Crnl_L.Mold 8942.JPG,3
dataset/tomato\Tomato___Target_Spot\300a1a92-1ef2-4e5f-914a-58cb34268f89___Com.G_TgS_FL 9787.JPG,6
dataset/tomato\Tomato___healthy\fb4ce6df-613b-4d52-8e11-28dfa448a5e1___GH_HL Leaf 483.JPG,9
dataset/tomato\Tomato___Leaf_Mold\b66c322b-7fc4-4d0a-9e57-afe7a58b0c1b___Crnl_L.Mold 6554.JPG,3
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\35d0ae49-02c5-402a-9c78-16aebc1821ad___YLCV_NREC 2746.JPG,7
dataset/tomato\Tomato___Early_blight\d8754b7f-53a4-4e69-8f54-1ec9f7581799___RS_Erly.B 6436.JPG,1
dataset/tomato\Tomato___Bacterial_spot\b16f21dc-39eb-45b5-a588-da778fa9ac44___GCREC_Bact.Sp 6351.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\b436da97-ae9f-4078-90d3-4abac91a611c___YLCV_NREC 2770.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\95bc1133-e7a6-47bd-873d-69660a0825b2___YLCV_GCREC 2737.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\4eb26e2d-1467-4709-8f37-eda9ca1ee92e___Com.G_SpM_FL 1748.JPG,5
dataset/tomato\Tomato___Leaf_Mold\662d31b7-5dcb-4af1-b645-20b83610d1ee___Crnl_L.Mold 8687.JPG,3
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\9b6eb8d6-6649-4a39-8c45-41e63bf649ed___Com.G_SpM_FL 9572.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\0c19cb59-85ac-4ed9-bc56-ccf75915973b___YLCV_GCREC 5345.JPG,7
dataset/tomato\Tomato___Target_Spot\5d55ddf1-3cd2-48ce-9312-0cffb3f59a3f___Com.G_TgS_FL 9676.JPG,6
dataset/tomato\Tomato___Bacterial_spot\022e8a4a-9297-4de3-88a5-ee7aa46dd526___UF.GRC_BS_Lab Leaf 8682.JPG,0
dataset/tomato\Tomato___Septoria_leaf_spot\c4c91080-210d-432d-8536-bf5a2e361528___Matt.S_CG 2866.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d174ab74-a864-4d2a-8210-3169eedf68b6___YLCV_GCREC 5186.JPG,7
dataset/tomato\Tomato___Target_Spot\6fcb11a8-c98b-49c1-9c07-31d15225d1fb___Com.G_TgS_FL 9796.JPG,6
dataset/tomato\Tomato___Early_blight\30901e71-e656-4e7e-b3ec-0f813c307b88___RS_Erly.B 9396.JPG,1
dataset/tomato\Tomato___Tomato_mosaic_virus\c16ac093-9b9b-4c37-b669-aa68f3cd55cf___PSU_CG 2270.JPG,8
dataset/tomato\Tomato___Bacterial_spot\10c418e8-59b3-4d9f-a22b-7762b538e758___UF.GRC_BS_Lab Leaf 0900.JPG,0
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\cb6ac171-2ca1-47cc-a295-4dbe7c9b2103___Com.G_SpM_FL 8975.JPG,5
dataset/tomato\Tomato___healthy\c8b14af0-f81f-474d-8fa9-aa3f5b05c618___RS_HL 0532.JPG,9
dataset/tomato\Tomato___Bacterial_spot\9f9da1c1-3c47-4e3c-a673-9a20e7f745b6___GCREC_Bact.Sp 3547.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4981cc67-2f5c-470a-b01d-8696404574be___YLCV_GCREC 5513.JPG,7
dataset/tomato\Tomato___Bacterial_spot\54f6ee80-e418-4320-b8bc-789e702c4b14___GCREC_Bact.Sp 6328.JPG,0
dataset/tomato\Tomato___Early_blight\08fe6531-bb66-4e0a-98b3-4b86a794f9f9___RS_Erly.B 7483.JPG,1
dataset/tomato\Tomato___Tomato_mosaic_virus\3ecbb7b8-ad66-4944-886e-de2ae2c2c35e___PSU_CG 2095.JPG,8
dataset/tomato\Tomato___healthy\a1414092-da7c-4e7e-9b25-6fb76e07285b___RS_HL 0247.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\35560278-a946-42c5-8d2d-2d29aedb0b0a___YLCV_NREC 2671.JPG,7
dataset/tomato\Tomato___Leaf_Mold\de7feb7f-caf7-4f98-90d4-096b0f130817___Crnl_L.Mold 6629.JPG,3
dataset/tomato\Tomato___Target_Spot\7dbcdc64-8646-4251-8253-22361604a72f___Com.G_TgS_FL 9717.JPG,6
dataset/tomato\Tomato___Septoria_leaf_spot\d12cfd6a-ecd5-44cd-89fe-85ce877d31f9___JR_Sept.L.S 2470.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\15553f35-1de9-4218-8472-6382d2c69597___UF.GRC_YLCV_Lab 01809.JPG,7
dataset/tomato\Tomato___Late_blight\20fe383e-d172-4aee-b76c-d82420e93b0c___RS_Late.B 5519.JPG,2
dataset/tomato\Tomato___Late_blight\3bc6d2f7-c1ed-4e66-b3de-277aadac6785___GHLB2 Leaf 163.JPG,2
dataset/tomato\Tomato___Bacterial_spot\dde8f28e-38a3-4736-a44b-e37c28b8acd8___UF.GRC_BS_Lab Leaf 8960.JPG,0
dataset/tomato\Tomato___Septoria_leaf_spot\82eb6df4-cf2d-4fe8-8b3b-c2ddb8b5457e___Keller.St_CG 1995.JPG,4
dataset/tomato\Tomato___Late_blight\766771e1-8e8e-4ce4-9af6-b4ed91c9e80a___RS_Late.B 6881.JPG,2
dataset/tomato\Tomato___healthy\48a36957-9e8e-4a17-b789-e775ea4bc523___GH_HL Leaf 254.1.JPG,9
dataset/tomato\Tomato___Leaf_Mold\d61a37fd-71d1-4b5f-a533-74e1bdab3bb8___Crnl_L.Mold 8975.JPG,3
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\2a5913c5-0fda-489c-b998-edbf96dd40b8___YLCV_NREC 2472.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\c4606071-63fe-4939-8245-48a0a7e5b628___Com.G_SpM_FL 8575.JPG,5
dataset/tomato\Tomato___Target_Spot\8ef53996-d440-40b6-8665-2e3acf4f6b7b___Com.G_TgS_FL 9875.JPG,6
dataset/tomato\Tomato___healthy\3169aa41-66a8-4f36-ab6e-a5664f5b1839___RS_HL 0471.JPG,9
dataset/tomato\Tomato___Early_blight\ff422d28-d002-4382-80bf-30f78f66c677___RS_Erly.B 6492.JPG,1
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d0138cfb-05ad-4465-886b-7e3e8d68c569___YLCV_GCREC 2295.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\97a3deed-deca-482b-b224-c42e1bb2f9aa___YLCV_GCREC 5372.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1b4ded19-b85b-4916-a158-6d8203062996___YLCV_GCREC 2230.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\27e28fcf-bc3e-4c0e-96c7-a0d845064dc2___Com.G_SpM_FL 8478.JPG,5
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1a64dea7-6a32-4da5-9212-eccc7c777b38___YLCV_GCREC 2210.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\be56a0ff-0e38-4fb7-a4c2-5b076ffc4f32___UF.GRC_YLCV_Lab 03032.JPG,7
dataset/tomato\Tomato___Late_blight\72e49321-5eeb-4669-9641-0e9146da9159___RS_Late.B 5102.JPG,2
dataset/tomato\Tomato___Bacterial_spot\d43111af-cbb9-47ee-be8e-9ce663146371___GCREC_Bact.Sp 6264.JPG,0
dataset/tomato\Tomato___healthy\065cd824-d515-49f6-a68a-c1b6dd313472___RS_HL 0139.JPG,9
dataset/tomato\Tomato___Septoria_leaf_spot\fc5b136a-102b-454a-8200-ddf85b2a0e52___Keller.St_CG 1898.JPG,4
dataset/tomato\Tomato___healthy\2b8306e4-7898-4f27-b659-b0061c4c3832___RS_HL 0440.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\98c3712e-68c8-4192-9ed3-ec18cd7f1373___UF.GRC_YLCV_Lab 02636.JPG,7
dataset/tomato\Tomato___Early_blight\7984dac1-acc8-466a-bbee-7377ea702462___RS_Erly.B 8386.JPG,1
dataset/tomato\Tomato___Early_blight\1c71757d-d351-4016-b5bb-06a63d0f2e24___RS_Erly.B 6388.JPG,1
dataset/tomato\Tomato___healthy\984d9db2-082d-446b-8991-870090c447bb___RS_HL 0274.JPG,9
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\71e1329b-568e-4d56-8aec-c6d1909aa7c1___Com.G_SpM_FL 1294.JPG,5
dataset/tomato\Tomato___Bacterial_spot\2a9c6104-6e28-444a-aa97-027020004409___GCREC_Bact.Sp 3605.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\df9bf87e-e166-434c-9568-05ab182f0efa___UF.GRC_YLCV_Lab 01513.JPG,7
dataset/tomato\Tomato___Tomato_mosaic_virus\32a6609d-e858-4da0-a153-b59b4de976b7___PSU_CG 2061.JPG,8
dataset/tomato\Tomato___Leaf_Mold\67001860-5fda-495c-b2fb-a036f21448f8___Crnl_L.Mold 8838.JPG,3
dataset/tomato\Tomato___Septoria_leaf_spot\82de2fc1-0ff9-4711-a89d-35db440d2078___JR_Sept.L.S 8564.JPG,4
dataset/tomato\Tomato___Bacterial_spot\86675a78-d635-447c-85c8-33c683d24092___GCREC_Bact.Sp 6058.JPG,0
dataset/tomato\Tomato___Early_blight\d418610e-e676-4722-b84a-6de973499fa9___RS_Erly.B 9425.JPG,1
dataset/tomato\Tomato___healthy\c8a610ce-ef41-42b4-ad46-fe82891ac4e0___GH_HL Leaf 258.JPG,9
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8ccc4c8f-190f-4fe6-bf42-c5beb8ce802c___YLCV_NREC 2121.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\245ad29e-37f4-4925-92ca-e4a43696bf28___YLCV_GCREC 2108.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9ca57e81-652c-4abc-a2c0-45e17c776857___YLCV_NREC 2481.JPG,7
dataset/tomato\Tomato___Bacterial_spot\9ea77bf9-c078-4adf-9173-ca0dca15dabd___GCREC_Bact.Sp 6333.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\bcd5e29a-60ab-4885-bdda-d56ae1cdfd65___YLCV_NREC 2226.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4ba3269d-f8c8-4dca-8983-3d632d7abcfd___UF.GRC_YLCV_Lab 02606.JPG,7
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\27b8928e-4fd2-4e84-bdb9-670a431477e0___Com.G_SpM_FL 8707.JPG,5
dataset/tomato\Tomato___Target_Spot\939c6274-f21d-4d60-88db-c882d85d0b19___Com.G_TgS_FL 1025.JPG,6
dataset/tomato\Tomato___Bacterial_spot\5fe12bf4-de4e-49bc-8125-b47edd272f7e___GCREC_Bact.Sp 3205.JPG,0
dataset/tomato\Tomato___Septoria_leaf_spot\77beaab6-09bf-4ea4-9107-4109d06b5412___Keller.St_CG 1829.JPG,4
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\78182937-b677-4607-b4d2-90bd5c9603bb___UF.GRC_YLCV_Lab 02132.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d7b8486a-ca45-46e0-9087-8d10804ac55b___UF.GRC_YLCV_Lab 09425.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7204af8f-4d24-422b-a5b5-da4c33d6d250___YLCV_GCREC 2400.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\d7e92f44-d414-4201-83f7-40663d5e57c2___UF.GRC_YLCV_Lab 03295.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\1a52b0ca-b284-4944-bfc0-8c1c22a70e0d___YLCV_NREC 0140.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\11061195-ce9c-4171-819d-663342a186e8___YLCV_NREC 0257.JPG,7
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\b1f03808-9162-4105-91a4-5db4a3596683___UF.GRC_YLCV_Lab 01774.JPG,7
dataset/tomato\Tomato___Late_blight\8275c408-1ce2-4b4b-a6de-b7a0b373ad05___GHLB2 Leaf 8741.JPG,2
dataset/tomato\Tomato___Spider_mites Two-spotted_spider_mite\3b5769b2-b497-47de-9992-bc328452b1ee___Com.G_SpM_FL 8824.JPG,5
dataset/tomato\Tomato___Target_Spot\99f79576-bc7e-4f4d-a356-1c185855d29b___Com.G_TgS_FL 9794.JPG,6
dataset/tomato\Tomato___Target_Spot\90cc8935-7782-41f6-b7ba-61e8f19f3dd2___Com.G_TgS_FL 0644.JPG,6
dataset/tomato\Tomato___Bacterial_spot\5a87c2e4-220b-4985-8dd7-8726c727467b___GCREC_Bact.Sp 3564.JPG,0
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\718b0de0-993c-481a-98d7-323b3af96111___YLCV_NREC 0203.JPG,7
dataset/tomato\Tomato___Late_blight\6e45480a-127e-4173-9402-7b724728a139___RS_Late.B 4837.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3c0181b4-1e8f-4be9-81ed-55c21abfc3c4___YLCV_GCREC 5381.JPG,7
dataset/tomato\Tomato___Bacterial_spot\7515d9e0-f3a4-4a49-9d6a-77cfa40a16a4___GCREC_Bact.Sp 3655.JPG,0
dataset/tomato\Tomato___Late_blight\4c25c41d-6e73-46e6-bf17-f9571fa80733___RS_Late.B 6077.JPG,2
dataset/tomato\Tomato___Tomato_mosaic_virus\9563b3bb-b942-4d32-9582-0b4021aaf116___PSU_CG 2229.JPG,8
dataset/tomato\Tomato___healthy\d53448cd-ddd7-4dd6-a657-c60bde629130___RS_HL 0190.JPG,9
dataset/tomato\Tomato___Late_blight\88a90e6d-c7d6-4ecb-a52f-c9ac596e39ee___GHLB2 Leaf 8648.JPG,2
dataset/tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3a0ed99b-2663-4c3d-b9dd-79fdcae9c5f2___UF.GRC_YLCV_Lab 01731.JPG,7
